tmpl_xid,attribute,value
tmpl_000MJ_0008,Size,24
tmpl_000MJ_0008,Size,25
tmpl_000MJ_0008,Size,26
tmpl_000MJ_0008,Size,27
tmpl_000MJ_0008,Size,28
tmpl_000MJ_0008,Size,29
tmpl_000MJ_0008,Size,30
tmpl_000MJ_0008,Size,31
tmpl_000MJ_0008,Size,32
tmpl_000MJ_0008,Size,33
tmpl_000MJ_0008,Size,34
tmpl_000MJ_0009,Size,23
tmpl_000MJ_0009,Size,24
tmpl_000MJ_0009,Size,25
tmpl_000MJ_0009,Size,26
tmpl_000MJ_0009,Size,27
tmpl_000MJ_0009,Size,28
tmpl_000MJ_0009,Size,29
tmpl_000MJ_0009,Size,30
tmpl_000MJ_0009,Size,31
tmpl_000MJ_0009,Size,32
tmpl_000MJ_0009,Size,33
tmpl_000MJ_0009,Size,34
tmpl_000MJ_0016,Size,24
tmpl_000MJ_0016,Size,25
tmpl_000MJ_0016,Size,26
tmpl_000MJ_0016,Size,27
tmpl_000MJ_0016,Size,28
tmpl_000MJ_0016,Size,29
tmpl_000MJ_0016,Size,30
tmpl_000MJ_0017,Size,24
tmpl_000MJ_0017,Size,25
tmpl_000MJ_0017,Size,26
tmpl_000MJ_0017,Size,27
tmpl_000MJ_0017,Size,28
tmpl_000MJ_0017,Size,29
tmpl_000MJ_0017,Size,30
tmpl_000MS_0017,Size,L
tmpl_000MS_0017,Size,M
tmpl_000MS_0017,Size,S
tmpl_000MS_0017,Size,XL
tmpl_000MS_0017,Size,XXL
tmpl_000MU_0000,Size,L
tmpl_000MU_0000,Size,M
tmpl_000MU_0000,Size,S
tmpl_000MU_0000,Size,XS
tmpl_000MU_0003,Size,L
tmpl_000MU_0003,Size,M
tmpl_000MU_0003,Size,S
tmpl_000MU_0003,Size,XS
tmpl_000MU_0003,Size,XXS
tmpl_000O0_0001,Size,L
tmpl_000O0_0001,Size,M
tmpl_000O0_0001,Size,S
tmpl_000O0_0001,Size,XS
tmpl_000O0_0003,Size,L
tmpl_000O0_0003,Size,M
tmpl_000O0_0003,Size,S
tmpl_000O0_0003,Size,XL
tmpl_000O0_0003,Size,XS
tmpl_000OF_0000,Size,23
tmpl_000OF_0000,Size,24
tmpl_000OF_0000,Size,25
tmpl_000OF_0000,Size,26
tmpl_000OF_0000,Size,27
tmpl_000OF_0000,Size,28
tmpl_000OF_0000,Size,29
tmpl_000OF_0000,Size,30
tmpl_000OF_0000,Size,31
tmpl_000OF_0000,Size,32
tmpl_000OH_0000,Size,L
